data de compra,# pedido,# item pedido,produto,modelo,valor produto,tipo de pagamento,entregue,vendedor,valor total do pedido,compra sócio,nome,cpf,valor total da compra
2025-06-23 17:25:04,CS623788,I1178564,Moletom,GG,250.0,Cartão de Crédito,Sim,Compra Online,280.0,Não,Emilly Peixoto,139.407.825-05,Não
2025-06-25 18:06:17,CS624023,I1178904,Moletom,GG,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Miguel Peixoto,508.971.634-00,Não
2025-07-10 16:58:54,CS625984,I1182459,Moletom,GG,189.0,Pix,Não,Compra Online,189.0,Sim,Lívia Almeida,604.579.231-99,Sim
2025-07-10 21:12:29,CS626051,I1182569,Moletom,GG,189.0,Dinheiro,Sim,Giovana Gomes Costa,297.0,Sim,Nicole Pinto,813.624.907-50,Sim
2025-07-13 20:16:14,CS626494,I1183277,Moletom,GG,250.0,Cartão de Crédito,Não,Compra Online,210.0,Não,Pedro Lucas da Mata,129.670.345-25,Não
2025-07-22 19:45:14,CS627974,I1185543,Moletom,GG,250.0,Cartão de Crédito,Sim,Compra Online,210.0,Não,Laís Cunha,318.926.057-59,Não
2025-07-22 21:38:29,CS627995,I1185585,Moletom,GG,250.0,Cartão de Crédito,Sim,Compra Online,280.0,Não,Gustavo da Conceição,435.892.716-55,Não
2025-07-23 14:16:07,CS628059,I1185683,Moletom,GG,189.0,Dinheiro,Sim,Laura Tobita Norimbeni,189.0,Sim,Nathan Campos,570.421.369-34,Sim
2025-06-23 13:28:07,CS623755,I1178521,Moletom,XGG,189.0,Pix,Sim,Compra Online,297.0,Sim,Emanuelly Souza,368.471.059-84,Sim
2025-06-30 15:58:58,CS624413,I1179498,Moletom,XGG,250.0,Pix,Não,Compra Online,210.0,Não,Luiz Henrique Lopes,948.012.673-78,Não
2025-07-22 14:58:11,CS627923,I1185433,Moletom,XGG,189.0,Cartão de Crédito,Não,Compra Online,189.0,Sim,Isabella Fernandes,790.386.514-57,Sim
2025-06-23 13:32:15,CS623758,I1178526,Cropped,PP,80.0,Cartão de Crédito,Sim,Compra Online,135.0,Não,Dr. Pedro Henrique Novaes,315.096.427-06,Não
2025-06-23 15:16:47,CS623772,I1178544,Cropped,PP,80.0,Pix,Sim,Compra Online,65.0,Não,Sr. Davi Cavalcanti,643.791.205-70,Não
2025-07-03 12:47:47,CS624768,I1180037,Cropped,PP,80.0,Pix,Não,Compra Online,65.0,Não,Laís Lima,639.208.157-77,Não
2025-07-11 22:53:11,CS626273,I1182926,Cropped,PP,58.5,Cartão de Crédito,Sim,Compra Online,58.5,Sim,Mirella Azevedo,624.189.703-96,Sim
2025-07-20 12:53:05,CS627677,I1185026,Cropped,PP,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Ana Laura Souza,841.962.530-24,Não
2025-07-21 10:20:29,CS627754,I1185152,Cropped,PP,58.5,Cartão de Crédito,Sim,Compra Online,310.5,Sim,Amanda Moura,174.389.602-69,Sim
2025-07-22 14:48:57,CS627920,I1185429,Cropped,PP,80.0,Cartão de Crédito,Sim,Compra Online,65.0,Não,Laura Rocha,195.078.423-14,Não
2025-07-23 17:40:42,CS628103,I1185761,Cropped,PP,80.0,Cartão de Crédito,Sim,Compra Online,345.0,Não,Lucas Aragão,035.817.249-79,Não
2025-07-23 20:56:25,CS628165,I1185854,Cropped,PP,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,200.0,Não,Evelyn Santos,509.387.612-77,Não
2025-07-23 20:56:25,CS628165,I1185855,Cropped,PP,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,200.0,Não,Sr. Davi Fernandes,489.136.205-70,Não
2025-07-23 23:34:00,CS628195,I1185913,Cropped,PP,80.0,Dinheiro,Sim,Luiz Felipe Ferreira De França ,65.0,Não,Maria Luiza Fernandes,970.542.316-43,Não
2025-06-23 14:39:23,CS623767,I1178538,Cropped,P,80.0,Cartão de Crédito,Sim,Compra Online,135.0,Não,Ana Clara Jesus,196.374.802-69,Não
2025-06-25 11:09:17,CS623974,I1178831,Cropped,P,58.5,Dinheiro,Sim,Laura Tobita Norimbeni,58.5,Sim,Murilo Almeida,798.364.052-83,Sim
2025-06-27 11:25:11,CS624120,I1179052,Cropped,P,58.5,Pix,Sim,Compra Online,247.5,Sim,Juan Azevedo,843.602.157-62,Sim
2025-06-28 19:09:10,CS624248,I1179246,Cropped,P,80.0,Pix,Sim,Compra Online,65.0,Não,Guilherme Campos,458.297.361-28,Não
2025-07-01 00:01:19,CS624472,I1179598,Cropped,P,58.5,Dinheiro,Sim,Laura Tobita Norimbeni,58.5,Sim,Igor das Neves,058.192.763-02,Sim
2025-07-02 21:28:58,CS624695,I1179937,Cropped,P,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Dr. Murilo Correia,293.508.714-32,Não
2025-07-04 10:37:33,CS624947,I1180497,Cropped,P,80.0,Pix,Sim,Compra Online,65.0,Não,Davi Lucas Nunes,129.430.678-22,Não
2025-07-05 22:19:48,CS625170,I1180935,Cropped,P,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Alexia Almeida,708.936.215-95,Não
2025-07-05 22:21:14,CS625171,I1180936,Cropped,P,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Juan Fernandes,079.325.468-00,Não
2025-07-13 20:34:16,CS626500,I1183286,Cropped,P,80.0,Cartão de Crédito,Sim,Compra Online,345.0,Não,Alexandre Novaes,910.246.583-33,Não
2025-07-14 22:08:00,CS626721,I1183632,Cropped,P,80.0,Pix,Não,Compra Online,130.0,Não,Emilly Fogaça,693.214.750-52,Não
2025-07-15 17:11:42,CS626858,I1183821,Cropped,P,80.0,Cartão de Crédito,Sim,Compra Online,275.0,Não,Dr. Danilo da Costa,823.071.594-79,Não
2025-07-20 18:07:02,CS627696,I1185051,Cropped,P,80.0,Pix,Sim,Compra Online,65.0,Não,Sra. Maitê Nogueira,653.741.980-84,Não
2025-07-22 14:57:46,CS627922,I1185432,Cropped,P,80.0,Cartão de Crédito,Sim,Compra Online,65.0,Não,Enrico Gonçalves,951.632.087-21,Não
2025-07-22 15:27:48,CS627927,I1185444,Cropped,P,80.0,Pix,Não,Compra Online,135.0,Não,Dr. Cauê Jesus,531.248.796-19,Não
2025-07-22 18:17:02,CS627950,I1185493,Cropped,P,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Dra. Yasmin Carvalho,486.219.305-60,Não
2025-07-22 19:26:31,CS627971,I1185536,Cropped,P,58.5,Dinheiro,Sim,Laura Tobita Norimbeni,121.5,Sim,Diego Silveira,891.706.234-22,Sim
2025-07-22 20:35:36,CS627984,I1185560,Cropped,P,80.0,Cartão de Crédito,Sim,Compra Online,65.0,Não,Valentina Barros,296.851.043-60,Não
2025-07-23 16:40:48,CS628091,I1185744,Cropped,P,58.5,Dinheiro,Sim,Laura Tobita Norimbeni,229.5,Sim,João Fernandes,179.548.360-10,Sim
2025-07-23 20:35:55,CS628161,I1185847,Cropped,P,58.5,Cartão de Crédito,Sim,Compra Online,121.5,Sim,Raul Araújo,951.346.728-73,Sim
2025-07-23 20:48:38,CS628164,I1185853,Cropped,P,80.0,Pix,Sim,Compra Online,135.0,Não,Sr. João Lucas Monteiro,532.470.896-83,Não
2025-07-23 21:37:43,CS628173,I1185869,Cropped,P,58.5,Dinheiro,Sim,Laura Tobita Norimbeni,58.5,Sim,Isadora Barbosa,472.806.395-00,Sim
2025-07-23 23:01:30,CS628187,I1185897,Cropped,P,80.0,Dinheiro,Sim,Gabriely Fernanda Garbim,65.0,Não,Isabella Ribeiro,104.653.978-75,Não
